sentiment,objectivity,emotion,variant,type,sentence
neutral,pers,plain,announce,FICTION,"At the far end was a narrow door which, Thomas announced, led into the kitchen."
neutral,org,plain,announce,FICTION,It has also been said that if a member of a court	announced that he would give expression to his views by voting against every licence
neutral,pers,plain,announce,FICTION,"And how do you propose to announce your findings, Dexter?"
positive,pers,plain,announce,FICTION,"You are a beautiful lady, Arthur announced, removing his thumb for the purpose, and added as an afterthought"
neutral,pers,plain,announce,FICTION,"It was agreed that John Major, departing from precedent, should say a few words at nine-thirty, and announce that the national YC executive and officers were to be disbanded a la Tebbit."
neutral,pers,plain,announce,FICTION,At Christmas her Uncle Bertie assembled the clan at his manor house in Wiltshire and announced that as a start she had better be presented at Court.
neutral,pers,plain,announce,FICTION,"I have a touch of the Quechua in me. He announced this in English, an explanation of something he had said that Ward had not understood."
positive,pers,plain,announce,FICTION,"she eased it open and stepped through the doorway, sending up a silent prayer that no creaking floorboard would announce her presence prematurely."
neutral,pers,plain,announce,FICTION,Francis appeared to annoucne that they were going down into Bourg to fetch some wine.
neutral,org,plain,announce,FICTION,plains where the short rains are expected. They are announced by atmospheric restlessness: papers in the street below suddenly dance
neutral,pers,plain,announce,FICTION,You've seen it in the corner of the office. The police announced it this morning.
neutral,pers,plain,announce,FICTION,"You will all be segregated for the duration of the operation, Legion announced to the assembled Project Eden team."
negative,pers,plain,announce,FICTION,"I've got a dead white face, staring black eyes, stringy hair and I need a shave, she announced in a rush, put the phone down and collapsed into gales of laughter."
neutral,pers,plain,announce,FICTION,"I'm dog-tired after that trek this afternoon, he announced with a brief compassionate glance at Sarella."
positive,pers,violent,announce,FICTION,"Nevertheless, he expected assistance from him. Mutton broth announced Sir Thomas proudly,"
positive,pers,plain,announce,FICTION,"When all the Packs had circled the field twice, the judges announced the winners through the loud-speaker."
neutral,pers,plain,announce,FICTION,"She needs coffee, I announce. Make the girl some coffee."
neutral,pers,plain,announce,FICTION,After no more than five minutes Bunny announced they could begin.
neutral,pers,plain,announce,FICTION,So what was he going to do about Leila? If anything. Zeinab announced that she was taking Owen to the theatre.
neutral,pers,plain,announce,FICTION,"a spoon and a fork before giving her one of the bowls. he announced, then sat down with his own."
neutral,pers,plain,announce,FICTION,"It was about four o’clock, he announced. Chap called Peter something."
neutral,org,plain,announce,FICTION,But then a cloud of dust on the horizon announced the arrival of their enemies.
negative,pers,plain,announce,FICTION,"I'll betray my friends for a Winston) when Stuart, with a creepily smug look on his face, suddenly announces, We're taking off, you know."
neutral,pers,plain,announce,FICTION,"then, rather than admit the error, the Board had to announce further that it would be open for the reception of plans"
neutral,org,plain,announce,FICTION,"In favour of the motion to increase the subsidy on Uridian marioc by sixteen per cent, 522 votes,	announce d Neputa Tharm, Leader of the Council of the Galaxy."
neutral,org,plain,announce,FICTION,"After a private conference with Mother Superior, the Sisters announced that there would be a special rosary every morning,"
neutral,pers,plain,announce,FICTION,"And take your partners for a tango, Sid	announced. Elinor and Nigel were soon into their stride"
neutral,pers,plain,announce,FICTION,"But for the moustache, their faces were identical. They bowed. Saskia and Mogul Zodiac, they announce	d, in unison. The Twinssaid Marco"
neutral,pers,plain,announce,FICTION,"Dame Frances sat down on a stool, her face in her hands. What that dour clerk had announced must be connected with the death of Lady Eleanor"
neutral,pers,plain,announce,FICTION,"his brother across a bare table in the visiting room, which was otherwise deserted. Word's got round, he	announced. I can do virtually whatever I like here now"
neutral,pers,plain,announce,FICTION,"Mother answered, then she came into the sitting-room and announced, Clare's coming home"
neutral,pers,plain,announce,FICTION,He opened the door and waved Duncan in Captain Duncan Carson announced Duncan to the man in the room
negative,pers,plain,announce,FICTION,It was when they were in the process of doing just that that Edward Greenwood walked in un announced. Helen shook her head in denial as she met Sophie's accusing glance
positive,pers,plain,announce,FICTION,"A bit of heat, they allowed, was all right, but this was no joke, it wasn't. Be a storm afore long, announced one old man;;I can feel it in me knees"
neutral,pers,plain,announce,FICTION,Obviously a married woman can't just get up from her chair at that time of the evening and announce that she's going out.
positive,pers,plain,announce,FICTION,"God! What grand ideas did he have for that? Now here, he announced brutally, is the perfect place for one of those Japanese-style bridges"
neutral,pers,plain,announce,FICTION,"picked up his hairbrush to untangle the knots from her hair. It isn't the sort of thing one announces, is it? You knowHello, I'm Fran Williams and I'm a virgin"
neutral,pers,plain,announce,FICTION,"He watched as Edna wheeled the pram back to the house, having announced that it was time for a certain person's tea"
neutral,pers,plain,announce,FICTION,"In the brief pause before the auctioneer announced the next lot, Emily spotted her father near the back of the gathering"
neutral,pers,plain,announce,FICTION,"when St Ives burst into the room without knocking. I shall go crazy, he announced. He wore a hair-net and was brandishing on his fist his Caesar wig with the laurel wreath"
neutral,org,plain,announce,FICTION,He remembered this because it was the day on which the BBC Home Service had announced the news that Her Majesty the Queen had given birth
neutral,pers,plain,announce,FICTION,"waistcoat was striped in black and subdued gold. here has been a call, monsieur, he announced, taking the luggage and casting one interested look"
neutral,pers,plain,announce,FICTION," But the danger passed, and by the next night Dr Losberne was able to announce that, though seriously ill, Rose would not die"
neutral,pers,plain,announce,FICTION,"One day, while he and I were walking on the moors, he announced, Jane, I'll be leaving in six weeks"
negative,pers,plain,announce,FICTION,Is it too late to go back? Will we feel silly if we go back up and announce to no one in particular
neutral,pers,plain,announce,FICTION,"He hurried into the back room. Charlotte heard him dial, then, a moment later, announce himself. C'est moi. Oui."
neutral,pers,plain,announce,FICTION,When her mother died Constance had turned slightly vegetarian and announced that she would never have any children
neutral,pers,plain,announce,FICTION,On a London bus she had heard a driver announce Stoke-Jewington when driving through Islington
neutral,pers,plain,announce,FICTION,abjure the Devil and seek proper medical attention. Their placards announced them as Catholic Youth Against Witchcraft.
neutral,pers,plain,announce,FICTION,"fit the particular embarrassments of the lived life. At seventeen, he announces that he wants to spend his whole life in a ruined castle by the sea"
neutral,pers,plain,announce,FICTION,"The Beatles had their first Number One wearing a pink trouser suit with waistcoat, announced herself as the hospital administrator and told us to follow her"
neutral,pers,plain,announce,FICTION,"This is our little guest cottage, she announced as they mounted some steps on to a wide, spacious veranda"
neutral,pers,plain,announce,FICTION,"She heard her mother's voice on the day when she had announced her engagement: Well, you're thirty-two and if he's what you want"
neutral,pers,plain,declare,FICTION,"Giles began to laugh too: Oh Christ, sorry, Liz, sorry, Kate, he declared, as he organized himself into a sitting position"
positive,pers,violent,declare,FICTION,"That was a fabulous meal, she declared enthusiastically after the pudding plates had been cleared away"
positive,pers,violent,declare,FICTION,"although I doubt if you'll find him there. I'm staying with Merv, Chrissie declared, clinging firmly to his hand."
neutral,pers,plain,declare,FICTION,Amaranth was the subject of much comment. One matron declared that if Ms Wilikins-the accent was on the Ms
negative,pers,violent,declare,FICTION,"You are being foolish beyond permission! he declared angrily, his hands dragging her to him so that his feverish glare burned into her eyes"
negative,pers,violent,declare,FICTION,"Not if I get to her first, you won't Laura declared, so viciously that Ross hoped his ex-personal assistant had the good sense"
neutral,pers,violent,declare,FICTION,"her elaborately draped velvet toque but eminently sensible. This is the train, she declared. Come along, Dorothy, or we shan't get a seat."
negative,pers,plain,declare,FICTION,"People with her attitude burnt my grandmother's home to the ground in Maggie declared. They brought her out with a gun in her back,"
negative,pers,plain,declare,FICTION,She hesitated on the edge of speech. Should she ask herself in; declare herself and deliver her warning in person?
negative,pers,violent,declare,FICTION,"Because space is nothing,and you can't curve nothing she declared triumphantly."
neutral,org,plain,declare,FICTION,"A Dutch businessman had proposed the idea, a wonderful invention  A tin of caviar but the label declared the produce to be herring"
negative,org,plain,declare,FICTION,"The senator responded with a practised smile. What Presidential prospects? I haven’t declared. Rickie's still an embarrassment, I accused him"
negative,org,plain,declare,FICTION,"Ken Mentle, who often made up club rules as he went along, declared that his was the casting vote and promptly blocked the appointment, incredibly"
negative,pers,violent,declare,FICTION,But I for one am never going to let anyone walk over me. Me neither! Jimmy declared. Mr Sanderson shook his head. Rearmament is a mistake
negative,pers,violent,declare,FICTION,"It was almost as if , after years of stolidly predictable behaviour, an old and respected great-uncle had declared himself to be a Buddhist or a Muslim or the follower of some obscure Eastern mystic"
neutral,org,plain,declare,FICTION,Already the world may know my story. Anyone who has heard it will declare that this is but of a piece with all the rest!
negative,pers,violent,declare,FICTION,"I'm afraid the pilot didn't make it. His neck's broken, he declared tersely. She stared at him, aghast, and tears of remorse welled up"
negative,org,plain,declare,FICTION,"Four months after Will's death, two things happened that helped Constance forget the past. War was declared and, more or less at the same time, her mother, who wished to distance her from the rough"
neutral,pers,violent,declare,FICTION,"he questioned. I'm twenty-two! Fabia declared, stoutly, it somehow not sitting very well at all that he seemed to think of her as a child"
negative,pers,violent,declare,FICTION,"You'd better pray we reach it soon, he	declare	d, and stalked away. Speechless, and more than a little shaken"
negative,org,plain,declare,FICTION,"You're talking to me! Mandy crowed. It's because we're about to	 declare	 a state of emergency, Charity responded drily"
positive,pers,violent,declare,FICTION,"Dora jerked her head like a horse shying at a pheasant. Well, I have every reason to think so! she declared. I see it now it's that stupid young fool's idea of a joke"
neutral,pers,plain,declare,FICTION,"Yes. It was the only thing he found interesting during the evening, I think. ’The man is a Philistine,	 declared Gamal. What was he doing there, anyway?"
negative,pers,violent,declare,FICTION,Then towards the end she had lost her temper completely and declared that if the listeners wanted to find out what it was really all about
neutral,org,plain,declare,FICTION,"amplified announcements in the nine principal languages of the otherworld page the missing, declare the starting times of special events, invite attendance at lectures"
positive,pers,violent,declare,FICTION,I feel great. Malik declared the cricket season three months early
negative,pers,violent,declare,FICTION,"Mrs Browning had declared it was all too bad, too dreadful an imposition to have been responsible for and that she would not be able to look the Ogilvys"
negative,pers,plain,declare,FICTION,"Raucous with disappointment, going in you counted down the decades to declare you will be eighty-seven next time round"
negative,pers,plain,declare,FICTION,"Irina was wearing a blue-and-brown check low-waisted summer dress with pleats, which Alison had already declared to Franca to be too smart, too old, and too expensive"
positive,pers,violent,declare,FICTION,"Isabella, Mr Edgar's sister, a pretty girl of eighteen, suddenly declared that she was in love with Heathcliff"
negative,pers,violent,declare,FICTION,Mould looked down in disbelief and was about to declare his disgust at their catch when the rope snapped
negative,pers,plain,declare,FICTION,"""No one blames Andrew for marrying again?"" ""No, no. An inquest declared Horatia dead"
negative,pers,plain,declare,FICTION,"A gardener was found drowned in the lake. Suicides, or so the coroner declared. Rachel's sombre words chilled all our souls"
positive,pers,plain,declare,FICTION,"They were lucky, Mrs Carson declared, to have received such an invitation."
neutral,pers,plain,declare,FICTION,My dad gave him the sort of look that only someone declared clinically dead can manage
neutral,org,plain,declare,FICTION,"When war was first declared, and she was co-opted into the military"
neutral,pers,violent,declare,FICTION,"He would not have gone! Rose declared. In any event, he was near fifteen by then"
negative,pers,plain,declare,FICTION,"he asked cosily, lifting the corner of one. Cold meat, he declared, sounding disappointed."
neutral,pers,violent,declare,FICTION,One or two people announced that they didn't either; others declared loudly that they did.
neutral,pers,plain,declare,FICTION,In the late sixties he had declared Couture is dead!
neutral,pers,plain,declare,FICTION,"You'll do no such thing, declared Naylor. You'd no idea I'd be bringing Leith home when you made your arrangements"
positive,pers,plain,declare,FICTION,"He also had more than a crush, Vitor declared. Ashley, the kid was always so damn pleased when you were around"
positive,pers,violent,declare,FICTION,"I am training her so that she can cook for royalty, Auguste declared grandly. And the young cock of the walk"
neutral,pers,plain,declare,FICTION,"What's more, I intend to say it properly, he declared, reducing speed to turn into a parking area that lay a few yards ahead"
neutral,pers,plain,declare,FICTION,"iYou're saying we should forget it?he enquired. I already have, Ashley declared and, climbing from the vehicle, she swung jauntily into the hotel without looking behind her"
neutral,org,plain,declare,FICTION,"Of a sudden Joe was thankful that a war had been declared: Martin would join up and, because of his principles, he wouldn't then marry Miss Crosbie"
neutral,pers,violent,declare,FICTION,"I think this will help you, the young library assistant declared, in heavily accented English, as she set the large atlas down on a nearby table"
negative,pers,plain,declare,FICTION,"Far from being grateful, she complained of the smell within and declared that sleeping in the open air had its merits."
negative,pers,plain,declare,FICTION,"I shall flatly refuse to take him with me on my rounds, he declared. There! It was out. And he felt all the better for it"
negative,org,plain,declare,FICTION,the pressure of letters continued to build up urging the Society to declare more fully its membership criteria. 
neutral,pers,violent,declare,FICTION,"she almost shouted. Doreen's chin rose as she declared with confidence, Of course I'll be with Silas"
positive,pers,plain,declare,FICTION,"as if it was her real plumage, and she’d declare: My dears, I am preparing for The Flight into Egypt, to the islands, to the New World"
positive,pers,plain,declare,FICTION,"Had she hoped that Simon would alert Vitor to her presence, and that he might search her out, explain he had rethought and declare undying love? Her lips formed a bleak smile"
neutral,pers,plain,declare,FICTION,"Antoinette surveyed her niece. onie is looking quite well, she declared: but her hair has not been properly brushed"
neutral,org,plain,declare,FICTION,"In the effervescence of his accession as His Lordship thirty years earlier, Fulgor Sagramoso had declared himself to be an independent sovereign ruler and a God"
negative,pers,violent,declare,FICTION,"In her outlandish, simple dialect she had declared, Me, Lindi! Me, Lindi Soon the seven-year-old girl had killed an older pupil who mocked her"
negative,pers,violent,declare,FICTION,"Mould looked down in disbelief and was about to declare his disgust at their catch when the rope snapped, returning the lump of metal to the sea"
neutral,pers,violent,declare,FICTION,"No one 's taking the poor girl anywhere, declared Dolly firmly as she emerged from the room to confront Boz"
neutral,org,plain,announce,NEWS,The Scottish figures which were	announced in outline last December were mapped out
neutral,org,plain,announce,NEWS,Three ministers	announced that they were leaving the Government at their own request
neutral,org,plain,announce,NEWS,Chancellor Norman Lamont is expected to announce a solution to the VAT problem that threaten's the industry's future in Britain
neutral,org,plain,announce,NEWS,Friction between Mr Junejo and the president grew and in May 1988 Gen Zia announced the dismissal of Mr Junejo and the National Assembly
neutral,org,plain,announce,NEWS,"On the day his result was announced, he was released after five years of detention without trial"
neutral,org,plain,announce,NEWS,The arrangements announced yesterday to ease the introduction of the poll tax are symptomatic of a less rigorous approach
positive,org,plain,announce,NEWS,"experience the thrill of bungee jumping, and yesterday he was announced as the county winner in a national competition for young entrepreneurs"
positive,pers,plain,announce,NEWS,"I hope to announce exciting new plans soon, said Broccoli"
neutral,org,plain,announce,NEWS,"be axed at Unilever Research's Port Sunlight laboratory, the company announced today. The cuts are part of a major shake-up at the laboratory which employs 1,300 staff"
negative,org,plain,announce,NEWS,The previously-	announced 1 billion cost of rationalising BAe's heavily-loss-making regional aircraft division
neutral,org,plain,announce,NEWS,all senior ANC members of the eight men whose release Mr de Klerk was to announce that night. Further suggesting to Mrs Sisulu that she might afford to hope
neutral,org,plain,announce,NEWS,low of 19p to 23p yesterday after it announce d much reduced trading losses
neutral,org,plain,announce,NEWS,"Channel 4 Relief greeted the Government decision, announced in the spring, that Channel 4 had escaped privatisation after a battle fought"
neutral,pers,plain,announce,NEWS,The clean-cut TV and radio presenter announced he was delighted &#8212; but not half as happy as his mother
neutral,org,plain,announce,NEWS,"Winners, here and elsewhere, will be announced next Friday."
neutral,org,plain,announce,NEWS,"they will be able to sell their shares after the allocation is	 announced on Monday, before letters of allocation arrive"
neutral,org,plain,announce,NEWS,monitor the integrity and accuracy of government statistics gained momentum yesterday when plans were announced for a meeting to draw up firm proposals
neutral,pers,plain,announce,NEWS,Offiah was due to leave Heathrow Airport at 6.30pm last night but the airline announced at 10.30pm that the flight would be postponed until this morning
neutral,org,plain,announce,NEWS,"THE Queen will not pay tax despite public demands, Chancellor Norman Lamont announced last night"
negative,org,plain,announce,NEWS,"On 8 June, four days after the Tiananmen massacre and the day after rioting in Hong Kong, Chinese negotiators announced they were ready They were pressing us like hell to sign"
negative,org,plain,announce,NEWS,"four teenagers died earlier this year has been sold and is to close with the loss of 20 jobs, it was announced yesterday"
positive,org,plain,announce,NEWS,"Aid increase BRITISH medical aid to Croatia is to be extended, Armed Forces Minister Archie Hamilton announced last night"
negative,pers,plain,announce,NEWS,looked set to fall victim to the play's unlucky reputation. For when the company announced there would be no interval in the 2 7hour production and refused to change their minds
positive,pers,plain,announce,NEWS,"And soon afterwards, the friend phoned her. I've found your caravan, she announced. At the caravan site, a warden told Jean the number to look for"
neutral,org,plain,announce,NEWS,Adrian Hadley have all been selected in the Welsh squad announced today to face the old enemy on Friday
neutral,org,plain,announce,NEWS,Senior officials of the African National Congress have been urging Mr Mandela to announce an official separation from his wife since her latest outburst
neutral,org,plain,announce,NEWS,"the Wigan scrum-half, confirming yesterday he would be in contention for Great Britain's summer tour squad to be announced on Monday, the fringe contenders have their last chance to impress"
neutral,org,plain,announce,NEWS,"ensure compliance with the building specifications, the International Yacht Racing Union announced yesterday"
negative,org,plain,announce,NEWS,"Bairdwear announced the closure of its Newtown Aycliffe factory, with the loss of 95 jobs"
neutral,org,plain,announce,NEWS,"protested that the record 50p rise should have been announced in an oral statement to the House, giving members the chance to question it"
neutral,org,plain,announce,NEWS,"unveiled by Clarke THE most important reform of the police for 30 years was announced by the Home Secretary, Kenneth Clarke, yesterday"
neutral,pers,plain,announce,NEWS,"Then, suddenly, they changed their minds. They announced the sale of the lease to a brand new company called Inn Business Ltd"
neutral,org,plain,announce,NEWS,Last month it was announced that Britain will get its first new-wave trams in 1991
positive,org,plain,announce,NEWS,The IoD estimates that the increased taxes announced yesterday will have the effect of adding 7p to income tax
neutral,org,plain,announce,NEWS,"Yesterday, the EC announced that Kemira and the other British fertiliser manufacturers had won their case against the Russians"
neutral,org,plain,announce,NEWS,"The order, announced in the House of Commons by the junior defence minister"
neutral,pers,plain,announce,NEWS,Four months later Anne and Mark announced their separation
neutral,org,plain,announce,NEWS,Mrs Thatcher will today announce that she is to double the British contribution of million to the UN Environment Project
negative,org,plain,announce,NEWS,was an 11-year-old schoolboy when the King's death was announced at morning assembly. I went with a friend to see the headmaster and ask his permission
neutral,org,plain,announce,NEWS,Good Shepherd at Four Marks have announced far reaching plans to extend pastoral care further into the parish
positive,org,plain,announce,NEWS,News deal THE New York Times announced it is buying the Boston Globe for a record one billion dollars
neutral,org,plain,announce,NEWS,"apparently encouraged by the new international policy announced in Washington, not only invited Bosnian Muslim and Croat leaders to meet him to discuss a settlement"
neutral,org,plain,announce,NEWS,Jets order secures jobs BRITISH Aerospace today announced a 500m deal to sell Hawk jet trainers to Indonesia
neutral,pers,plain,announce,NEWS,Mr Lang hopes to announce the decision on the boundaries of the new authorities in the next four months
positive,org,plain,announce,NEWS,"despite one of the most difficult trading years in memory, the society has announced record results with: Asset growth up 11.49 per cent to 225m"
neutral,pers,plain,announce,NEWS,He and proud mum Christine will be waiting with bated breath as Will Carling announces the winners at a special ceremony in the Howard Hotel
neutral,org,plain,announce,NEWS,"new Socialist Party should pick up the pieces, as a marginal hardline faction announce d the foundation of the Hungarian Communist Party"
neutral,org,plain,announce,NEWS,"Mr Tony Blair, last weekend announced the Opposition's support for the full Social Charter agenda"
neutral,org,plain,announce,NEWS,the Romanian leader announced publicly that he would not accept a ban on chemical weapons unless a universal ban
neutral,org,plain,announce,NEWS,"Nor, despite the merit of the achievement, did the Ryder Cup team get the vote when the Golf Writers Association announce their selection for their annual trophy this year"
neutral,org,plain,announce,NEWS,"AH says it has been forced into a big cost-cutting exercise because of the effect of Petroleum Revenue Tax changes, announced in the last Budget"
neutral,org,plain,announce,NEWS,wiped out DISAPPOINTED charities were only grudgingly grateful for the estimated 30 million boost to their income announced by the Chancellor yesterday
negative,org,plain,announce,NEWS,The Chancellor decides on a rate rise to 12 per cent. 11.01am: Rise announced. Stock market instantly plunges
neutral,org,plain,announce,NEWS,"Industrial Correspondent BRITISH Aerospace yesterday announced the 35m launch of a new mid-sized, twin-engined business"
neutral,org,plain,announce,NEWS,That is the drift of policy announced yesterday
neutral,org,plain,announce,NEWS,health authority expect to receive from a national health department package announced two weeks ago
neutral,org,plain,announce,NEWS,As soon as Mr Lamont has announced that the cash is there for the Jubilee Line and other great projects
positive,org,plain,announce,NEWS,"City: Ashley into black LAURA Ashley, at 93p, will tomorrow announce a return to trading profit after its recent setbacks"
neutral,org,plain,announce,NEWS,Sky TV yesterday announced they have exclusive rights to show his championship challenge
neutral,org,plain,announce,NEWS,"When the working party was announced, it was claimed the membership had been loaded towards the landowning fraternity"
neutral,org,plain,announce,NEWS,"ML Laboratories, expected to announce new drug developments soon, jumped 40p to 495p"
neutral,org,plain,announce,NEWS,The results were announced as Labour predicted the wasted generation of jobless people under 25 would approach the one million
negative,org,plain,announce,NEWS,"Abolhassan Bani-Sadr, announced that 20 people had been killed in an explosion"
neutral,org,plain,announce,NEWS,"A fund-raising cake stall for the Over 60s was announced, to be held at the Petersfield Pop-In Club Coffee Room"
neutral,org,plain,announce,NEWS,A member of European Parliament who grew up in Teesdale has announced her engagement to a top businessman
neutral,org,plain,announce,NEWS,"Italy's 1.5bn dollar Eurobond is largest issue to date By JASON NISSE ITALY yesterday announced a $1.5bn issue of fixed-rate Eurobonds, the largest such deal to date"
neutral,org,plain,announce,NEWS,"wo consortia one led by P & O and the other by Trafalgar House are still bidding for partnership with BR, which is due to announce its choice by the end of the month"
neutral,org,plain,announce,NEWS,"Drugs wait for Russia RUSSIA'S athletics chief, Valentin Balakhnichov, has announced he will wait for dope test results, expected later this week"
neutral,org,plain,announce,NEWS,the Dragon board announced that it had received acceptances from 750 shareholders
neutral,pers,plain,announce,NEWS,Then she will announce in a suitable low-key way her appointees
neutral,org,plain,announce,NEWS,they announced a joint rescue package for financially-crippled Tottenham Hotspur
neutral,org,plain,announce,NEWS,tell her of the decision before it was announced in South Africa. Five of the eight prisoners due to be released were convicted of terrorism and sentenced for life
negative,org,plain,announce,NEWS,The club announced on Tuesday that they made a 1.4m trading loss
neutral,org,plain,announce,NEWS,"A second round of ministerial changes, in the middle and junior ranks, will be announced tomorrow. Traffic chaos expected for months"
neutral,org,plain,announce,NEWS,Similar settlement terms were announced by Miss Latimer's counsel
neutral,org,plain,announce,NEWS,"Graeme Wright, editor of Wisden since 1986, announced he was quitting at last night's launch of the 1992 edition"
neutral,org,plain,announce,NEWS,Middlesex are expected to announce his retirement from the game today
neutral,org,plain,announce,NEWS,The England squad is announced next week and he said: There's little chance of being involved with England if I can't get in my club side first
neutral,org,plain,announce,NEWS,"Meanwhile, ITV	announced yesterday that it will televise live Norwich's game with United on January 21"
neutral,pers,plain,announce,NEWS,"With the mannerisms of a Sesame Street presenter, Dr Henning announced himself as an expert in making things disappear and revealed that he would make the problems of the nation disappear"
neutral,org,plain,announce,NEWS,A 30m clean-up of the River Tees has been announced by the Northumbrian Water company
neutral,org,plain,announce,NEWS,"In May last year, Mr Gorbachev's cable arrived several minutes before Karoly Grosz's election to the leadership was announced. This time, the new name deserved no greetings"
neutral,org,plain,announce,NEWS,"The attack came from Labour leader John Smith as more than 17,000 jobs cuts were announced by the Post Office and the Royal Ordnance, while Ford unions claimed 3,000 workers are to go"
neutral,org,plain,announce,NEWS,MORE plans have been submitted for a new town centre shopping complex in Ipswich just days after a major retailer announced it was pulling out of the town
neutral,org,plain,announce,NEWS,"Yet when pedestrianisation was first announced the city's shopkeepers, taxi drivers and disabled groups kicked up a fuss"
